p_dep,p_gate,p_res,p_read,l,d,r,ts
0.0005,0.0005,0.0099,0.0099,2.56E-08,13,39,22:17.0
0.0005,0.0005,0.0099,0.0099,1.61E-08,17,62,54:35.5
0.0005,0.003633333,0.0005,0.0005,2.95E-06,13,39,32:23.7
0.0005,0.003633333,0.0005,0.0005,2.56E-06,13,43,34:35.2
0.0005,0.003633333,0.0005,0.0005,3.15E-06,13,48,37:05.6
0.0005,0.003633333,0.0005,0.0005,3.46E-06,13,52,39:47.4
0.0005,0.003633333,0.0005,0.0005,8.89E-07,15,45,42:52.6
0.0005,0.003633333,0.0005,0.0005,8.20E-07,15,50,46:19.4
0.0005,0.003633333,0.0005,0.0005,8.36E-07,15,55,49:57.2
0.0005,0.003633333,0.0005,0.0005,9.17E-07,15,60,53:37.5
0.0005,0.003633333,0.0005,0.0005,2.75E-07,17,51,57:50.2
0.0005,0.003633333,0.0005,0.0005,2.11E-07,17,57,02:39.4
0.0005,0.003633333,0.0005,0.0005,3.23E-07,17,62,08:19.4
0.0005,0.003633333,0.0005,0.0005,2.50E-07,17,68,14:15.0
0.0005,0.003633333,0.0005,0.0005,5.26E-08,19,57,20:37.2
0.0005,0.003633333,0.0005,0.0005,3.17E-08,19,63,29:01.0
0.0005,0.003633333,0.0005,0.0005,8.57E-08,19,70,38:10.6
0.0005,0.003633333,0.0005,0.0005,2.63E-08,19,76,48:37.6
0.0005,0.003633333,0.003633333,0.003633333,6.72E-06,13,39,50:58.2
0.0005,0.003633333,0.003633333,0.003633333,6.98E-06,13,43,53:25.7
0.0005,0.003633333,0.003633333,0.003633333,7.19E-06,13,48,56:19.5
0.0005,0.003633333,0.003633333,0.003633333,6.46E-06,13,52,59:56.2
0.0005,0.003633333,0.003633333,0.003633333,2.24E-06,15,45,03:58.0
0.0005,0.003633333,0.003633333,0.003633333,2.36E-06,15,50,08:20.6
0.0005,0.003633333,0.003633333,0.003633333,2.15E-06,15,55,13:33.4
0.0005,0.003633333,0.003633333,0.003633333,2.03E-06,15,60,20:14.1
0.0005,0.003633333,0.003633333,0.003633333,5.88E-07,17,51,27:32.9
0.0005,0.003633333,0.003633333,0.003633333,5.97E-07,17,57,34:50.8
0.0005,0.003633333,0.003633333,0.003633333,7.42E-07,17,62,42:44.9
0.0005,0.003633333,0.003633333,0.003633333,7.21E-07,17,68,51:41.0
0.0005,0.003633333,0.003633333,0.003633333,1.75E-07,19,57,01:19.8
0.0005,0.003633333,0.003633333,0.003633333,2.54E-07,19,63,11:30.4
0.0005,0.003633333,0.003633333,0.003633333,1.71E-07,19,70,23:48.6
0.0005,0.003633333,0.003633333,0.003633333,1.84E-07,19,76,37:59.8
0.0005,0.003633333,0.006766667,0.006766667,1.21E-05,13,39,41:17.3
0.0005,0.003633333,0.006766667,0.006766667,1.29E-05,13,43,44:28.9
0.0005,0.003633333,0.006766667,0.006766667,1.12E-05,13,48,48:24.4
0.0005,0.003633333,0.006766667,0.006766667,1.29E-05,13,52,51:57.5
0.0005,0.003633333,0.006766667,0.006766667,4.49E-06,15,45,56:50.6
0.0005,0.003633333,0.006766667,0.006766667,4.32E-06,15,50,01:37.9
0.0005,0.003633333,0.006766667,0.006766667,4.33E-06,15,55,07:39.3
0.0005,0.003633333,0.006766667,0.006766667,4.37E-06,15,60,14:07.7
0.0005,0.003633333,0.006766667,0.006766667,1.76E-06,17,51,21:05.6
0.0005,0.003633333,0.006766667,0.006766667,1.70E-06,17,57,28:56.4
0.0005,0.003633333,0.006766667,0.006766667,1.40E-06,17,62,37:43.7
0.0005,0.003633333,0.006766667,0.006766667,1.44E-06,17,68,47:26.9
0.0005,0.003633333,0.006766667,0.006766667,4.74E-07,19,57,58:42.1
0.0005,0.003633333,0.006766667,0.006766667,5.24E-07,19,63,11:32.4
0.0005,0.003633333,0.006766667,0.006766667,7.43E-07,19,70,25:59.4
0.0005,0.003633333,0.006766667,0.006766667,5.53E-07,19,76,41:53.5
0.0005,0.003633333,0.0099,0.0099,2.12E-05,13,39,44:12.6
0.0005,0.003633333,0.0099,0.0099,2.20E-05,13,43,46:25.7
0.0005,0.003633333,0.0099,0.0099,2.10E-05,13,48,48:32.0
0.0005,0.003633333,0.0099,0.0099,2.15E-05,13,52,50:56.8
0.0005,0.003633333,0.0099,0.0099,8.29E-06,15,45,56:39.7
0.0005,0.003633333,0.0099,0.0099,7.48E-06,15,50,03:03.0
0.0005,0.003633333,0.0099,0.0099,8.33E-06,15,55,09:14.7
0.0005,0.003633333,0.0099,0.0099,7.99E-06,15,60,16:05.8
0.0005,0.003633333,0.0099,0.0099,2.71E-06,17,51,24:35.1
0.0005,0.003633333,0.0099,0.0099,3.37E-06,17,57,34:54.0
0.0005,0.003633333,0.0099,0.0099,3.03E-06,17,62,46:09.5
0.0005,0.003633333,0.0099,0.0099,2.69E-06,17,68,58:07.7
0.0005,0.003633333,0.0099,0.0099,1.26E-06,19,57,30:50.7
0.0005,0.003633333,0.0099,0.0099,1.22E-06,19,63,50:48.9
0.0005,0.003633333,0.0099,0.0099,1.46E-06,19,70,27:10.3
0.0005,0.003633333,0.0099,0.0099,1.28E-06,19,76,40:21.6
0.0005,0.006766667,0.0005,0.0005,0.000215958,13,39,40:40.0
0.0005,0.006766667,0.0005,0.0005,0.000203203,13,43,41:00.4
0.0005,0.006766667,0.0005,0.0005,0.000198742,13,48,41:20.3
0.0005,0.006766667,0.0005,0.0005,0.000214164,13,52,41:41.6
0.0005,0.006766667,0.0005,0.0005,0.00010435,15,45,42:34.9
0.0005,0.006766667,0.0005,0.0005,0.000112308,15,50,43:20.1
0.0005,0.006766667,0.0005,0.0005,0.000104385,15,55,44:08.9
0.0005,0.006766667,0.0005,0.0005,0.000106261,15,60,44:58.9
0.0005,0.006766667,0.0005,0.0005,5.56E-05,17,51,46:52.6
